question_id,p_at_1,p_at_5,mrr,map
2089,0.000,0.800,0.500,0.718
2090,1.000,0.600,1.000,0.824
2091,1.000,1.000,1.000,0.963
2092,1.000,0.400,1.000,0.750
2093,0.000,0.200,0.200,0.200
2094,0.000,0.000,0.125,0.125
2098,0.000,0.000,0.125,0.125
2099,0.000,0.400,0.333,0.388
2100,0.000,0.200,0.333,0.333
2101,0.000,0.000,0.111,0.111
2102,1.000,0.600,1.000,0.917
2103,1.000,0.200,1.000,0.583
2104,0.000,0.200,0.333,0.333
2105,0.000,0.800,0.500,0.766
2106,1.000,0.600,1.000,0.748
2107,0.000,0.400,0.500,0.433
2109,0.000,0.200,0.250,0.250
2110,0.000,0.200,0.250,0.250
2111,0.000,0.200,0.200,0.200
2115,0.000,0.200,0.200,0.200
2116,0.000,0.000,0.000,0.000
2117,0.000,0.000,0.091,0.117
2118,0.000,0.000,0.000,0.000
2119,0.000,0.600,0.333,0.525
2120,0.000,0.000,0.083,0.083
2121,0.000,0.200,0.200,0.200
2122,0.000,0.200,0.333,0.333
2123,0.000,0.000,0.125,0.125
2124,0.000,0.000,0.000,0.000
2126,0.000,0.000,0.000,0.000
2127,0.000,0.400,0.500,0.493
2128,0.000,0.400,0.333,0.417
2129,1.000,0.600,1.000,0.670
2131,0.000,0.400,0.500,0.549
2133,1.000,1.000,1.000,0.957
2134,0.000,0.000,0.143,0.143
2135,0.000,0.000,0.000,0.000
2136,0.000,0.000,0.143,0.316
2139,1.000,0.600,1.000,1.000
2140,1.000,0.800,1.000,1.000
2141,0.000,0.200,0.333,0.333
2142,0.000,0.000,0.000,0.000
2143,0.000,0.400,0.500,0.443
2144,0.000,0.000,0.000,0.000
2145,0.000,0.400,0.500,0.500
2149,1.000,0.800,1.000,0.860
2151,0.000,0.000,0.125,0.216
2152,0.000,0.200,0.200,0.420
2153,0.000,0.400,0.333,0.444
2154,0.000,0.000,0.143,0.143
2155,0.000,0.200,0.250,0.250
2156,0.000,0.400,0.333,0.350
2157,0.000,0.000,0.000,0.000
2159,0.000,0.000,0.000,0.000
2160,1.000,1.000,1.000,1.000
2161,0.000,0.000,0.000,0.000
2162,0.000,0.000,0.000,0.000
2164,0.000,0.000,0.000,0.000
2165,1.000,0.600,1.000,0.650
2166,0.000,0.000,0.000,0.000
2167,0.000,0.000,0.000,0.000
2168,0.000,0.400,0.333,0.421
2169,1.000,0.400,1.000,0.611
2170,0.000,0.000,0.000,0.000
2171,0.000,0.000,0.167,0.174
2173,0.000,0.000,0.167,0.226
2175,1.000,1.000,1.000,0.986
2176,0.000,0.000,0.000,0.000
2178,0.000,0.000,0.125,0.125
2179,0.000,0.000,0.100,0.177
2181,0.000,0.200,0.333,0.333
2182,0.000,0.600,0.500,0.628
2184,0.000,0.600,0.500,0.694
